YEAR,LOC$,MONTH$,ORGLOC$,ID1,ID2,ID3,SizeClass,SL,NLSL,WETWT,NLWETWT,DRYWT,NLDRYWT,VAR00014,PERWATER,ASHPERDRYWT,PERAFDW,TAGPERTOTLIP,TAGPERDRYWT,NOTTAGPDRYWT,LIPPERDRYWT,PERLEANAFDW,VAR00023,TAG,FFA,NOTTAG,TOTLIP,NLTAG,NLFFA,NLNOTTAG,NLTOTLIP,VAR00032,GTAG,GFFA,GNOTTAG,GTOTLIP,GPRO,NLGTAG,NLGRAMFFA,NLGNOTTAG,NLGTOTLIP,NLGPRO,VAR00042,TAGKJ,NOTTAGKJ,TOTLIPKJ,PROKJ,TOTALKJ,NLTAGKJ,NLNOTTAGKJ,NLTOTLIPKJ,NLPROKJ,NLTOTALKJ,DIFFTOTPROKJ,VAR00053,TAGPERTOTKJ,NOTTAGPERTKJ,TOTLIPPERKJ,PROPERTOTKJ,VAR00058,TOTALENERGYJ,EDENJPERGWET,NLEDJPERGWET,VAROOO59,C,N,S,ADJC,ADJN,ADJS,ADJCONC1,ADJCONC2,CLASSLOC$,VAR00069,ESTGPROREG,RESGPROREG,VAR00077,REQNLTAGKJ,ESTNLTAGKJ,NLTAGKJCON,REQNLPROKJ,ESTNLPROKJ,NLPROKJCON,REQNLTOTALKJ,ESTNLTOTALKJ,NLTOTALKJCON,VAR00087,ESTTAGKJ,ESTPROKJ,ESTTOTALKJ,VAR00091,ENDURANCE,VAR00093,BMPROKJCON
1999,AC,Sept,AC,1,1,40,S,24,3.17805383,0.1,-2.320749064,0.05,-2.931818948,,45.72,10.4,89.6,2.11,0.15,6.74,6.89,82.68,,1.45,8.54,67.45,68.9,0.37,2.15,4.21,4.23,,7.75E-05,0.000455346,0.003594938,0.00367244,0.044066593,-9.465208936,-7.694452853,-5.628228513,-5.606899011,-3.122053302,,0.003066748,0.1422517,0.145318447,0.885738528,1.031056975,-5.78713768,-1.950157257,-1.928827756,-0.121333487,0.030584465,0.145318447,,0.3,13.8,14.09,85.91,,1031.056975,10310.56975,9.240924837,,-16.76,11.86,17.2,-16.76,11.86,17.2,1.065393059,1.659183722,MB,,-3.412342858,0.290289556,,1,-5.427024845,-0.360112835,1,-0.104022775,-0.017310712,1,-0.00842029,0.039004755,,0.004396156,0.901204772,0.991615061,,0.000571038,,1
1999,LBC,Sept,DC,1,3,3,S,27,3.295836866,0.35,-1.043840053,0.07,-2.632479014,,79.58,17.1,82.9,4.61,0.25,5.12,5.36,77.55,,2.47,1.64,51.17,53.64,0.9,0.49,3.94,3.98,,0.00017765,0.000117893,0.003679184,0.003856835,0.055759159,-8.635692703,-9.045735233,-5.605064271,-5.557908504,-2.886713588,,0.007029628,0.145585314,0.152614942,1.120759104,1.273374046,-4.957621447,-1.926993016,-1.879837249,0.114006227,0.241670107,0.152614942,,0.55,11.43,11.99,88.01,,1273.374046,3638.21156,8.19924751,,-17.29,13.84,17.07,-17.29,13.84,17.07,1.838592657,0.929829598,LBC,,-3.053898787,0.167185199,,1,-5.266957699,0.309336252,1,0.218113829,-0.104107602,1,0.31477636,-0.073106253,,0.005159283,1.243728632,1.3699529,,0.001045923,,1
1999,AC,Sept,AC,1,1,16,S,29,3.36729583,0.21,-1.578908707,0.09,-2.456902453,,58.44,6.8,93.2,0,0,4.46,4.46,88.73,,0,5.83,44.62,44.62,,1.76,3.8,3.8,,0,0.00049929,0.003824045,0.003824045,0.076042293,,-7.602322807,-5.566446574,-5.566446574,-2.576465609,,0,0.151317452,0.151317452,1.528450086,1.679767538,,-1.888375319,-1.888375319,0.424254206,0.518655414,0.151317452,,0,9.01,9.01,90.99,,1679.767538,7998.893038,8.987058441,,-17.15,10.07,17.41,-17.15,10.07,17.41,-0.270079905,1.959636558,MB,,-2.836430782,0.259965173,,1,-5.169844967,-4.839003101,1,0.413554095,0.010700111,1,0.510859758,0.007795656,,0.00568545,1.512182687,1.666723558,,0,,1
1999,LBC,Sept,DC,1,6,7,S,30,3.401197382,0.46,-0.771973961,0.09,-2.375155786,,79.87,12.8,87.2,5.43,0.26,4.52,4.78,82.47,,2.6,2.49,45.23,47.82,0.95,0.91,3.81,3.87,,0.000241366,0.000231773,0.004206255,0.00444762,0.076694793,-8.329197467,-8.369752882,-5.471182672,-5.415386098,-2.567921457,,0.00955084,0.166441494,0.175992334,1.541565345,1.717557679,-4.651126211,-1.793111417,-1.737314842,0.432798358,0.540903327,0.175992334,,0.56,9.69,10.25,89.75,,1717.557679,3733.821041,8.225187396,,-17.53,14.63,16.98,-17.53,14.63,16.98,2.120773054,0.612683115,LBC,,-2.73325964,0.165338183,,1,-5.123772758,0.472646547,1,0.50627484,-0.073476482,1,0.603885616,-0.062982289,,0.005953519,1.659099259,1.829212627,,0.001201843,,1
1999,LBC,Sept,DC,1,1,6,S,32,3.465735903,0.61,-0.500380366,0.12,-2.154165088,,80.87,16.4,83.6,3.2,0.19,5.61,5.79,77.83,,1.86,2.94,56.08,57.93,0.62,1.08,4.03,4.06,,0.00021522,0.000341012,0.006505049,0.006720269,0.090283305,-8.443850009,-7.983592719,-5.035176658,-5.002627125,-2.404802722,,0.008516254,0.257404783,0.265921036,1.814694426,2.080615462,-4.765778754,-1.357105403,-1.32455587,0.595917093,0.732663745,0.265921036,,0.41,12.37,12.78,87.22,,2080.615462,3410.84502,8.134715346,,-17.74,13.67,16.65,-17.74,13.67,16.65,1.342888475,0.63222421,LBC,,-2.536852322,0.1320496,,1,-5.036064908,0.270286154,1,0.682787695,-0.086870602,1,0.780979318,-0.048315573,,0.006499273,1.979387978,2.183609667,,0.00088463,,1
1999,LBC,Sept,DC,1,2,2,S,32,3.465735903,0.59,-0.529668712,0.11,-2.168928708,,80.59,17.2,82.8,6.15,0.33,5.1,5.43,77.37,,3.34,3.56,50.97,54.31,1.21,1.27,3.93,3.99,,0.000381564,0.000406461,0.005826115,0.006207679,0.08843385,-7.871231123,-7.808021885,-5.145404877,-5.081968149,-2.425500467,,0.0150985,0.230539372,0.245637872,1.77752038,2.023158252,-4.193159868,-1.467333622,-1.403896894,0.575219348,0.704659782,0.245637872,,0.75,11.4,12.14,87.86,,2023.158252,3429.081783,8.140047803,,-17.58,13.77,16.89,-17.58,13.77,16.89,1.556455453,0.75725594,LBC,,-2.536852322,0.111351855,,1,-5.036064908,0.84290504,1,0.682787695,-0.107568347,1,0.780979318,-0.076319536,,0.006499273,1.979387978,2.183609667,,0.00166203,,1
1999,LBC,Sept,DT,1,2,2,S,33,3.496507561,0.67,-0.393190747,0.13,-2.07784282,,81.45,15.1,84.9,2.1,0.09,4.4,4.49,80.43,,0.94,3.8,43.97,44.91,-0.06,1.34,3.78,3.8,,0.000117819,0.000475853,0.005505464,0.005623284,0.100699519,-9.046356819,-7.650402604,-5.202014203,-5.180839512,-2.29561426,,0.004662117,0.217851215,0.222513333,2.024060324,2.246573657,-5.368285563,-1.523942947,-1.502768256,0.705105555,0.809406236,0.222513333,,0.21,9.7,9.9,90.1,,2246.573657,3353.09501,8.117639082,,-16.78,14.19,16.58,-16.78,14.19,16.58,2.355049983,0.922244519,LBC,,-2.443206253,0.147591993,,1,-4.994246225,-0.374039338,1,0.766948179,-0.061842624,1,0.865416747,-0.056010511,,0.006776827,2.153185081,2.375996069,,0.000459113,,1
1999,LBC,Sept,DC,1,6,4,S,33,3.496507561,0.69,-0.365859854,0.13,-2.014403146,,80.77,16.7,83.3,5.23,0.29,5.22,5.5,77.78,,2.88,5.57,52.16,55.04,1.06,1.72,3.95,4.01,,0.000383984,0.000742583,0.006958602,0.007342586,0.103763132,-7.864908559,-7.205375809,-4.967776711,-4.914064147,-2.265644555,,0.015194264,0.275351875,0.290546138,2.085638951,2.376185089,-4.186837303,-1.289705455,-1.235992891,0.73507526,0.865496298,0.290546138,,0.64,11.59,12.23,87.77,,2376.185089,3443.746506,8.144315258,,-17.25,13.93,16.83,-17.25,13.93,16.83,1.88365922,0.849447508,LBC,,-2.443206253,0.177561698,,1,-4.994246225,0.807408922,1,0.766948179,-0.031872919,1,0.865416747,7.96E-05,,0.006776827,2.153185081,2.375996069,,0.001496296,,1
1999,LBC,Sept,DC,1,3,4,S,33,3.496507561,0.68,-0.382872259,0.13,-2.016654554,,80.48,18.6,81.4,3.49,0.16,4.52,4.68,76.72,,1.64,2.59,45.21,46.85,0.49,0.95,3.81,3.85,,0.000217872,0.000344516,0.006017497,0.006235369,0.102113105,-8.431602286,-7.973370925,-5.113083835,-5.077517451,-2.281674203,,0.0086212,0.238112369,0.246733568,2.052473419,2.299206988,-4.75353103,-1.43501258,-1.399446196,0.719045612,0.832564276,0.246733569,,0.37,10.36,10.73,89.27,,2299.206988,3381.186747,8.125982035,,-17.79,14.31,16.67,-17.79,14.31,16.67,1.687828956,0.472137541,LBC,,-2.443206253,0.16153205,,1,-4.994246225,0.240715195,1,0.766948179,-0.047902567,1,0.865416747,-0.032852471,,0.006776827,2.153185081,2.375996069,,0.000848996,,1
1999,MHC,Sept,MHC,1,2,15,S,33,3.496507561,0.62,-0.482724194,0.13,-2.062781101,,79.4,15.9,84.1,3.3,0.14,4.17,4.31,79.8,,1.43,1.91,41.7,43.13,0.35,0.65,3.73,3.76,,0.000181133,0.00024267,0.005300106,0.005481239,0.101428152,-8.616279382,-8.32380836,-5.240028367,-5.206424033,-2.288404596,,0.00716743,0.209725214,0.216892644,2.03870585,2.255598493,-4.938208127,-1.561957112,-1.528352778,0.712315219,0.813415345,0.216892643,,0.32,9.3,9.62,90.38,,2255.598493,3638.062085,8.199206425,,-18.04,14.3,15.94,-18.04,14.3,15.94,1.393011501,0.134286601,LBC,,-2.443206253,0.154801657,,1,-4.994246225,0.056038098,1,0.766948179,-0.05463296,1,0.865416747,-0.052001402,,0.006776827,2.153185081,2.375996069,,0.000705833,,1
